,Table S1. All DEGs obtained in this study.,,,,,,,,
TRINITY_DN21148_c0_g1_i2,MRAY_ARATH,PF00953.22,Glycosyl transferase family 4 ,|0071555|0044038|0006412,|cell wall organization|cell wall macromolecule biosynthetic process|translation,|0008963|0003735,|phospho-N-acetylmuramoyl-pentapeptide-transferase activity|structural constituent of ribosome,|0016021|0031226|0005840,|integral component of membrane|intrinsic component of plasma membrane|ribosome
TRINITY_DN2174_c0_g2_i1,SBT4_LOTJA,PF00082.23,Subtilase family   ,|0006508,|proteolysis,|0004252,|serine-type endopeptidase activity,|0048046,|apoplast
TRINITY_DN2373_c0_g1_i8,TBG2_ORYSJ,PF03953.18,Tubulin C-terminal domain  ,|0031122|0007020|0000212|0007052|0000070|0048768|0009624|0000911|0010103|0048366|0051641,|cytoplasmic microtubule organization|microtubule nucleation|meiotic spindle organization|mitotic spindle organization|mitotic sister chromatid segregation|root hair cell tip growth|response to nematode|cytokinesis by cell plate formation|stomatal complex morphogenesis|leaf development|cellular localization,|0003924|0005525|0005200|0016757,|GTPase activity|GTP binding|structural constituent of cytoskeleton|transferase activity transferring glycosyl groups,|0000930|0005874|0005819|0005634|0005737|0005618|0012505|0005886|0031967,|gamma-tubulin complex|microtubule|spindle|nucleus|cytoplasm|cell wall|endomembrane system|plasma membrane|organelle envelope
TRINITY_DN2507_c0_g1_i5,PAT_PETHY,PF00155.22,Aminotransferase class I and II,|0009058,|biosynthetic process,|0030170|0003824,|pyridoxal phosphate binding|catalytic activity,.,.
TRINITY_DN261_c0_g1_i2,FOSB_BACLD,PF00903.26,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily ,.,.,|0004462|0046872,|lactoylglutathione lyase activity|metal ion binding,|0016021,|integral component of membrane
TRINITY_DN2629_c0_g1_i3,TAF7_ARATH,PF04658.14,TAFII55 protein conserved region ,|0006367|0006413|0070897,|transcription initiation from RNA polymerase II promoter|translational initiation|transcription preinitiation complex assembly,|0003743|0016251,|translation initiation factor activity|RNA polymerase II general transcription initiation factor activity,|0005669|0016021,|transcription factor TFIID complex|integral component of membrane
TRINITY_DN2644_c0_g1_i13,CSN5_ORYSJ,PF18323.2,Cop9 signalosome subunit 5 C-terminal,|0006508|0070647|1990641|0007275,|proteolysis|protein modification by small protein conjugation or removal|response to iron ion starvation|multicellular organism development,|0070122|0004222|0019784|0046872|0005515,|isopeptidase activity|metalloendopeptidase activity|NEDD8-specific protease activity|metal ion binding|protein binding,|0008180|0005737|0000502,|COP9 signalosome|cytoplasm|proteasome complex
TRINITY_DN2994_c0_g1_i15,CMTA3_ARATH,PF03859.17,CG-1 domain   ,|0006357,|regulation of transcription by RNA polymerase II,|0005516|0003677|0003712|0004771|0102568|0102567|0003841|0004623|0004806,|calmodulin binding|DNA binding|transcription coregulator activity|sterol esterase activity|phospholipase A2 activity consuming 12-dioleoylphosphatidylethanolamine)|phospholipase A2 activity (consuming 12-dipalmitoylphosphatidylcholine)|1-acylglycerol-3-phosphate O-acyltransferase activity|phospholipase A2 activity|triglyceride lipase activity,|0005634,|nucleus
TRINITY_DN3204_c1_g1_i4,COL5_ARATH,PF06203.15,CCT motif   ,|0048580|2000241|0048831|0051241|0051093|0048585,|regulation of post-embryonic development|regulation of reproductive process|regulation of shoot system development|negative regulation of multicellular organismal process|negative regulation of developmental process|negative regulation of response to stimulus,|0008270,|zinc ion binding,|0005634,|nucleus
TRINITY_DN320_c1_g1_i3,MYB05_ANTMA,PF00249.32,Myb-like DNA-binding domain  ,|0080187|0010597|2000762|1903338|0009909|0007623|0006355,|floral organ senescence|green leaf volatile biosynthetic process|regulation of phenylpropanoid metabolic process|regulation of cell wall organization or biogenesis|regulation of flower development|circadian rhythm|regulation of transcription DNA-templated,|0000976|0003700,|transcription regulatory region sequence-specific DNA binding|DNA-binding transcription factor activity,|0009505|0005634,|plant-type cell wall|nucleus
TRINITY_DN34_c0_g1_i7,LHY_PETHY,PF00249.32,Myb-like DNA-binding domain  ,.,.,|0003677,|DNA binding,|0005634|0016020,|nucleus|membrane
TRINITY_DN357_c0_g1_i26,ACS_ARATH,PF00501.29,AMP-binding enzyme   ,|0019427|0009698|0048024,|acetyl-CoA biosynthetic process from acetate|phenylpropanoid metabolic process|regulation of mRNA splicing via spliceosome,|0003987|0016208|0005524|0016207,|acetate-CoA ligase activity|AMP binding|ATP binding|4-coumarate-CoA ligase activity,|0009570|0005829|0005681,|chloroplast stroma|cytosol|spliceosomal complex
TRINITY_DN3_c0_g1_i1,NAMB1_HORVS,PF02365.16,No apical meristem (NAM) protein,|0006355|0010365|0009413|0048316|0009790|0080060|0090698|0045995,|regulation of transcription DNA-templated|positive regulation of ethylene biosynthetic process|response to flooding|seed development|embryo development|integument development|post-embryonic plant morphogenesis|regulation of embryonic development,|0003677|0001067|0003700,|DNA binding|regulatory region nucleic acid binding|DNA-binding transcription factor activity,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN4591_c0_g1_i2,PNAA_PRUDU,PF12222.9,Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A,.,.,|0000224,|peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity,|0005773,|vacuole
TRINITY_DN4662_c0_g1_i3,GSTFC_ARATH,PF00043.26,Glutathione S-transferase,|0006749|0009636,|glutathione metabolic process|response to toxic substance,|0004364|0043295,|glutathione transferase activity|glutathione binding,|0005829|0016021,|cytosol|integral component of membrane
TRINITY_DN472_c1_g1_i11,TBB1_MAIZE,PF00091.26,Tubulin/FtsZ family,|0007017|0007010|0000278|0016049,|microtubule-based process|cytoskeleton organization|mitotic cell cycle|cell growth,|0005200|0003924|0005525|0016757,|structural constituent of cytoskeleton|GTPase activity|GTP binding|transferase activity transferring glycosyl groups,|0005874|0005737,|microtubule|cytoplasm
TRINITY_DN52_c0_g1_i12,GASAB_ARATH,PF02704.15,Gibberellin regulated protein  ,|0009740|0006353|0006355,|gibberellic acid mediated signaling pathway|DNA-templated transcription termination|regulation of transcription DNA-templated,|0003690,|double-stranded DNA binding,|0005576|0016021,|extracellular region|integral component of membrane
TRINITY_DN530_c0_g1_i2,BAG5_ARATH,PF02179.17,BAG domain   ,.,.,.,.,.,.
TRINITY_DN5872_c0_g1_i1,PNAA_PRUDU,PF12222.9,Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A,.,.,|0000224,|peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity,|0005773,|vacuole
TRINITY_DN6025_c0_g1_i23,DEGP2_ARATH,PF17815.2,PDZ domain   ,|0006508|0010206|0009658|0030163,|proteolysis|photosystem II repair|chloroplast organization|protein catabolic process,|0004252|0003723,|serine-type endopeptidase activity|RNA binding,|0009533|0009941|0009535|0005829,|chloroplast stromal thylakoid|chloroplast envelope|chloroplast thylakoid membrane|cytosol
TRINITY_DN6616_c0_g1_i1,TMN12_ARATH,PF02990.17,Endomembrane protein 70  ,|0072657|0006817,|protein localization to membrane|phosphate ion transport,.,.,|0010008|0000139|0016021|0009506|0005802|0005774,|endosome membrane|Golgi membrane|integral component of membrane|plasmodesma|trans-Golgi network|vacuolar membrane
TRINITY_DN694_c0_g1_i3,LEC2_COLES,PF01453.25,D-mannose binding lectin  ,.,.,|0030246,|carbohydrate binding,.,.
TRINITY_DN805_c0_g1_i28,GGAP1_ARATH,PF07090.12,Putative glutamine amidotransferase  ,|0006006,|glucose metabolic process,|0080048|0016779|0000166|0016787|0080047,|GDP-D-glucose phosphorylase activity|nucleotidyltransferase activity|nucleotide binding|hydrolase activity|GDP-L-galactose phosphorylase activity,|0005737,|cytoplasm
TRINITY_DN806_c0_g1_i21,Y3148_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0031667|0016255|0000186|0000165|0015074|0006508,|protein phosphorylation|response to nutrient levels|attachment of GPI anchor to protein|activation of MAPKK activity|MAPK cascade|DNA integration|proteolysis,|0004672|0005524|0003923|0003676,|protein kinase activity|ATP binding|GPI-anchor transamidase activity|nucleic acid binding,|0016021|0005886|0008303|0031227|0140534|0098796,|integral component of membrane|plasma membrane|caspase complex|intrinsic component of endoplasmic reticulum membrane|endoplasmic reticulum protein-containing complex|membrane protein complex
TRINITY_DN806_c0_g1_i7,Y1765_ARATH,PF00069.26,Protein kinase domain  ,|0006468,|protein phosphorylation,|0004672|0005524,|protein kinase activity|ATP binding,|0016021,|integral component of membrane
TRINITY_DN81_c0_g1_i1,PPA1_SOLLC,PF03767.15,HAD superfamily,|0016311|0006468,|dephosphorylation|protein phosphorylation,|0003993|0045735|0004672|0005524,|acid phosphatase activity|nutrient reservoir activity|protein kinase activity|ATP binding,|0005774|0009505|0009506|0005829|0016021,|vacuolar membrane|plant-type cell wall|plasmodesma|cytosol|integral component of membrane
TRINITY_DN820_c0_g1_i1,SBT3_LOTJA,PF17766.2,Fibronectin type-III domain  ,.,.,.,.,.,.
TRINITY_DN820_c0_g1_i2,SBT3_LOTJA,PF17766.2,Fibronectin type-III domain  ,.,.,.,.,.,.
TRINITY_DN820_c0_g2_i1,SBT4_LOTJA,PF00082.23,Subtilase family   ,|0006508,|proteolysis,|0004252,|serine-type endopeptidase activity,.,.
TRINITY_DN822_c0_g1_i2,HT1_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0006468,|protein phosphorylation,|0004674|0005524,|protein serine/threonine kinase activity|ATP binding,.,.
TRINITY_DN851_c0_g1_i3,HSP83_ORYSJ,PF00183.19,Hsp90 protein   ,|0006457|0050821|0034605,|protein folding|protein stabilization|cellular response to heat,|0051082|0005524,|unfolded protein binding|ATP binding,|0048471|0009986|0005829|0032991|0005886,|perinuclear region of cytoplasm|cell surface|cytosol|protein-containing complex|plasma membrane
TRINITY_DN8811_c0_g1_i2,MYB86_ARATH,PF00249.32,Myb-like DNA-binding domain  ,|0010119,|regulation of stomatal movement,.,.,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN894_c0_g1_i14,HFA2B_ORYSJ,PF00447.18,HSF-type DNA-binding   ,|0006355|0034605,|regulation of transcription DNA-templated|cellular response to heat,|0043565|0003700|0001067|0003690|0042802,|sequence-specific DNA binding|DNA-binding transcription factor activity|regulatory region nucleic acid binding|double-stranded DNA binding|identical protein binding,|0005634|0005737,|nucleus|cytoplasm
TRINITY_DN925_c0_g1_i5,NIC1_ARATH,PF00857.21,Isochorismatase family   ,|0019365|0009737,|pyridine nucleotide salvage|response to abscisic acid,|0008936,|nicotinamidase activity,|0016021,|integral component of membrane
TRINITY_DN9763_c0_g1_i4,TENAC_ARATH,PF00201.19,UDP-glucoronosyl and UDP-glucosyl transferase ,.,.,|0008194,|UDP-glycosyltransferase activity,|0005829,|cytosol
TRINITY_DN994_c0_g1_i7,KPYC_SOLTU,PF00224.22,Pyruvate kinase,|0006096|0015979,|glycolytic process|photosynthesis,|0004743|0030955|0000287|0016301|0005524,|pyruvate kinase activity|potassium ion binding|magnesium ion binding|kinase activity|ATP binding,|0005737|0016021,|cytoplasm|integral component of membrane
TRINITY_DN10009_c0_g1_i76,CESA9_ORYSJ,PF03552.15,Cellulose synthase   ,|0030244|0071555|0009832|0000281|0045488|0010383|0030244|0071555|0009832|0000281|0045488|0010383|0006413,|cellulose biosynthetic process|cell wall organization|plant-type cell wall biogenesis|mitotic cytokinesis|pectin metabolic process|cell wall polysaccharide metabolic process|cellulose biosynthetic process|cell wall organization|plant-type cell wall biogenesis|mitotic cytokinesis|pectin metabolic process|cell wall polysaccharide metabolic process|translational initiation,|0016760|0046872|0005515|0016760|0046872|0003743|0005524,|cellulose synthase (UDP-forming) activity|metal ion binding|protein binding|cellulose synthase (UDP-forming) activity|metal ion binding|translation initiation factor activity|ATP binding,|0005886|0005802|0016021|0010330|0009507|0005886|0005802|0016021|0010330|0009507,|plasma membrane|trans-Golgi network|integral component of membrane|cellulose synthase complex|chloroplast|plasma membrane|trans-Golgi network|integral component of membrane|cellulose synthase complex|chloroplast
TRINITY_DN10170_c0_g1_i2,HUAL2_ARATH,PF04818.14,CID domain   ,.,.,.,.,.,.
TRINITY_DN10192_c0_g1_i1,HIP36_ARATH,PF00403.27,Heavy-metal-associated domain   ,|0030001,|metal ion transport,|0046872,|metal ion binding,.,.
TRINITY_DN10260_c0_g1_i5,C96T1_NARAP,PF00067.23,Cytochrome P450   ,.,.,.,.,.,.
TRINITY_DN10276_c0_g1_i14,APC2_ARATH,PF00888.23,Cullin family   ,|0006511|0007049|0051301|0009561|1902600,|ubiquitin-dependent protein catabolic process|cell cycle|cell division|megagametogenesis|proton transmembrane transport,|0031625|0046961|0016740|0003677|0016874,|ubiquitin protein ligase binding|proton-transporting ATPase activity rotational mechanism|transferase activity|DNA binding|ligase activity,|0005680|0005819|0033176|0005774|0016021,|anaphase-promoting complex|spindle|proton-transporting V-type ATPase complex|vacuolar membrane|integral component of membrane
TRINITY_DN10276_c0_g1_i18,APC2_ARATH,PF00888.23,Cullin family   ,|0006511|0007049|0051301|0009561|1902600,|ubiquitin-dependent protein catabolic process|cell cycle|cell division|megagametogenesis|proton transmembrane transport,|0031625|0046961|0016740|0003677|0016874,|ubiquitin protein ligase binding|proton-transporting ATPase activity rotational mechanism|transferase activity|DNA binding|ligase activity,|0005680|0005819|0033176|0005774|0016021,|anaphase-promoting complex|spindle|proton-transporting V-type ATPase complex|vacuolar membrane|integral component of membrane
TRINITY_DN10403_c0_g1_i13,SRO1_ARATH,PF00644.21,Poly(ADP-ribose) polymerase catalytic domain ,|0010102|0009793|0009651|0010193|0009867|0048573|0009873|0006809|2000377|0009414|0012501|0000303|0042542|0016032,|lateral root morphogenesis|embryo development ending in seed dormancy|response to salt stress|response to ozone|jasmonic acid mediated signaling pathway|photoperiodism flowering|ethylene-activated signaling pathway|nitric oxide biosynthetic process|regulation of reactive oxygen species metabolic process|response to water deprivation|programmed cell death|response to superoxide|response to hydrogen peroxide|viral process,|0003950|0005515,|NAD+ ADP-ribosyltransferase activity|protein binding,|0016363|0005737,|nuclear matrix|cytoplasm
TRINITY_DN10758_c0_g1_i26,SMC6B_ARATH,PF02463.20,RecF/RecN/SMC N terminal domain ,|0000724|0051276,|double-strand break repair via homologous recombination|chromosome organization,|0005524,|ATP binding,|0030915|0005634,|Smc5-Smc6 complex|nucleus
TRINITY_DN10854_c0_g1_i1,ODO1_PETHY,PF00249.32,Myb-like DNA-binding domain  ,|0030154,|cell differentiation,|0000976,|transcription regulatory region sequence-specific DNA binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN10883_c0_g1_i5,ANK3_MOUSE,PF13962.7,Domain of unknown function ,|0016310|0006464,|phosphorylation|cellular protein modification process,|0016301|0016773|0140096,|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein,|0016021,|integral component of membrane
TRINITY_DN1096_c0_g1_i4,ZW10_ARATH,PF11989.9,Retrograde transport protein Dsl1 C,.,.,.,.,.,.
TRINITY_DN10980_c0_g1_i1,RB12B_HUMAN,PF04554.14,Extensin-like region   ,.,.,.,.,.,.
TRINITY_DN11133_c0_g1_i2,HNRH2_PONAB,PF00076.23,RNA recognition motif. (a.k.a. RRM,.,.,|0003723,|RNA binding,|1990904,|ribonucleoprotein complex
TRINITY_DN1114_c0_g1_i5,BCAT5_ARATH,PF01063.20,Amino-transferase class IV  ,|0009082|0008652|0006997|0005975,|branched-chain amino acid biosynthetic process|cellular amino acid biosynthetic process|nucleus organization|carbohydrate metabolic process,|0052655|0052656|0052654|0004553,|L-valine transaminase activity|L-isoleucine transaminase activity|L-leucine transaminase activity|hydrolase activity hydrolyzing O-glycosyl compounds,|0009570|0005829|0005634|0016021,|chloroplast stroma|cytosol|nucleus|integral component of membrane
TRINITY_DN1134_c0_g1_i5,PLAT1_ARATH,PF01477.24,PLAT/LH2 domain   ,.,.,.,.,|0005737|0016021,|cytoplasm|integral component of membrane
TRINITY_DN1135_c0_g1_i2,CPL1_ARATH,PF00035.27,Double-stranded RNA binding motif ,|0070940|0009738|0009651|0009611|0045892|0006886|0016192,|dephosphorylation of RNA polymerase II C-terminal domain|abscisic acid-activated signaling pathway|response to salt stress|response to wounding|negative regulation of transcription DNA-templated|intracellular protein transport|vesicle-mediated transport,|0008420|0106307|0106306|0003723|0004647|0005198,|RNA polymerase II CTD heptapeptide repeat phosphatase activity|protein threonine phosphatase activity|protein serine phosphatase activity|RNA binding|phosphoserine phosphatase activity|structural molecule activity,|0005634|0030130|0030132|0016021,|nucleus|clathrin coat of trans-Golgi network vesicle|clathrin coat of coated pit|integral component of membrane
TRINITY_DN11386_c0_g1_i30,CUL4_ARATH,PF00888.23,Cullin family   ,|0006511|0016567,|ubiquitin-dependent protein catabolic process|protein ubiquitination,|0031625|0004842,|ubiquitin protein ligase binding|ubiquitin-protein transferase activity,|0031461,|cullin-RING ubiquitin ligase complex
TRINITY_DN11484_c0_g1_i1,KCS20_ORYSJ,PF08392.13,FAE1/Type III polyketide synthase-like protein,|0006633|0016973,|fatty acid biosynthetic process|poly(A)+ mRNA export from nucleus,|0102756|0102338|0102336|0102337,|very-long-chain 3-ketoacyl-CoA synthase activity|3-oxo-lignoceronyl-CoA synthase activity|3-oxo-arachidoyl-CoA synthase activity|3-oxo-cerotoyl-CoA synthase activity,|0016020|0005634,|membrane|nucleus
TRINITY_DN11529_c0_g1_i6,H2A_EUPES,PF16211.6,C-terminus of histone H2A ,.,.,.,.,.,.
TRINITY_DN115_c0_g1_i54,YAB4_ARATH,PF04690.14,YABBY protein   ,|0007275|0045165|0003006|0050793|0006355,|multicellular organism development|cell fate commitment|developmental process involved in reproduction|regulation of developmental process|regulation of transcription DNA-templated,|0046872|0003677|0005515|0003700,|metal ion binding|DNA binding|protein binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN11694_c0_g1_i2,PUB7_ARATH,PF04564.16,U-box domain   ,|0016567|0007166,|protein ubiquitination|cell surface receptor signaling pathway,|0004842|0016874|0016746,|ubiquitin-protein transferase activity|ligase activity|transferase activity transferring acyl groups,|0005634|0005741|0016021,|nucleus|mitochondrial outer membrane|integral component of membrane
TRINITY_DN116_c0_g1_i11,U2A2B_NICPL,PF00076.23,RNA recognition motif. (a.k.a. RRM,|0008380|0006397,|RNA splicing|mRNA processing,|0008187|0030628,|poly-pyrimidine tract binding|pre-mRNA 3'-splice site binding,|0000243|0089701|0071004|0016607,|commitment complex|U2AF complex|U2-type prespliceosome|nuclear speck
TRINITY_DN11739_c0_g1_i2,NOMT_NARAP,PF01596.18,O-methyltransferase    ,|0032259|0033486|0033485|0009718|0043473,|methylation|delphinidin 3-O-glucoside biosynthetic process|cyanidin 3-O-glucoside biosynthetic process|anthocyanin-containing compound biosynthetic process|pigmentation,|0008168|0046872,|methyltransferase activity|metal ion binding,|0005737,|cytoplasm
TRINITY_DN1173_c0_g1_i5,IAA6_ORYSJ,PF02309.17,AUX/IAA family   ,|0009734|0006355|0009736|0000160,|auxin-activated signaling pathway|regulation of transcription DNA-templated|cytokinin-activated signaling pathway|phosphorelay signal transduction system,|0016874,|ligase activity,|0005634|0005829|0016021,|nucleus|cytosol|integral component of membrane
TRINITY_DN11933_c0_g1_i2,HAC1_ARATH,PF08214.12,Histone acetylation protein  ,|0016573|0006355|1903508,|histone acetylation|regulation of transcription DNA-templated|positive regulation of nucleic acid-templated transcription,|0004402|0008270|0001085|0031490|0003712|0003924|0005525,|histone acetyltransferase activity|zinc ion binding|RNA polymerase II transcription factor binding|chromatin DNA binding|transcription coregulator activity|GTPase activity|GTP binding,|0005634|0031248|0005667|0070013|0043233|0016021,|nucleus|protein acetyltransferase complex|transcription regulator complex|intracellular organelle lumen|organelle lumen|integral component of membrane
TRINITY_DN11974_c0_g1_i8,MDAR3_ORYSJ,PF07992.15,Pyridine nucleotide-disulphide oxidoreductase  ,.,.,.,.,.,.
TRINITY_DN12127_c0_g1_i1,ATL51_ARATH,PF13639.7,Ring finger domain  ,.,.,|0016746|0016787,|transferase activity transferring acyl groups|hydrolase activity,|0016021,|integral component of membrane
